0,1,가게,"store, shop"
1,2,가격,price
2,3,가구,furniture
3,4,가깝다,close
4,5,가끔,sometimes
5,6,가다,go
6,7,가르치다,teach
7,8,가방,bag
8,9,가볍다,light
9,10,가수,singer
10,11,가슴,"chest, breast"
11,12,가요,song
12,13,가운데,middle
13,14,가위,scissors
14,15,가을,"autumn, fall"
15,16,가장,most
16,17,가져가다,take away
17,18,가져오다,bring
18,19,가족,family
19,20,가지,branch
20,21,가지다,have
21,22,각,each
22,23,간,while
23,24,간단하다,"simple, easy"
24,25,간단히,simply
25,26,간식,snack
26,27,간장,soy sauce
27,28,간호사,nurse
28,29,갈비,"Galvi, spareribs"
29,30,갈비탕,"Galbitang, spareribs soup"
30,31,갈색,brown
31,32,갈아타다,transfer
32,33,감,persimmon
33,34,감기,cold
34,35,감기약,cold medicine
35,36,감다,close ~ (eyes)
36,37,감동,sensation
37,38,감동하다,be impressed
38,39,감사,thank
39,40,감사드립니다,thank you
40,41,감사하다,"thank, appreciate"
41,42,감사합니다,thank you
42,43,감자,potato
43,44,감자탕,"Gamjatang, potato soup"
44,45,갑자기,suddenly
45,46,값,price
46,47,강,river
47,48,강아지,puppy
48,49,강좌,lecture
49,50,갖다,have
50,51,같다,same
51,52,같이,together
52,53,개,"dog, ~ piece(s)"
53,54,개나리,forsythia
54,55,개인,individual
55,56,거기,there
56,57,거리,street
57,58,거실,living room
58,59,거울,mirror
59,60,거의,"almost, nearly"
60,61,거짓말,lie
61,62,걱정,"anxiety, concern"
62,63,걱정하다,worry
63,64,건강,health
64,65,건강하다,be healthy
65,66,건너가다,cross (a road)
66,67,건너다,cross over
67,68,건너편,"other side, opposite side"
68,69,건물,building
69,70,건배,"cheers, toast"
70,71,걷다,walk
71,72,걸다,"bet, call"
72,73,걸리다,"get caught, take (time)"
73,74,걸어가다,walk (go)
74,75,걸어오다,walk (come)
75,76,검은색,black
76,77,것,"that, thing, it"
77,78,게임,game
78,79,겨울,winter
79,80,겨울방학,winter vacation
80,81,결과,result
81,82,결정,decision
82,83,결정하다,decide
83,84,결혼,marriage
84,85,결혼식,wedding ceremony
85,86,결혼하다,get married
86,87,경기,"competition, game"
87,88,경기장,"stadium, arena"
88,89,경복궁,Gyeongbokgung
89,90,경주,Gyeongju
90,91,경찰,police
91,92,경찰관,police officer
92,93,경찰서,police office
93,94,경치,"view, landscape"
94,95,경험,experience
95,96,계단,stairs
96,97,계란,egg
97,98,계산하다,calculate
98,99,계속,continue
99,100,계시다,"be, exist (honorific form)"
100,101,계절,season
101,102,계획,plan
102,103,고기,meat
103,104,고등학교,high school
104,105,고등학생,high school student
105,106,고르다,choose
106,107,고마웠습니다,Thank you (past tense)
107,108,고맙다,thank
108,109,고맙습니다,Thank you
109,110,고모,paternal aunt
110,111,고모부,paternal uncle
111,112,고속버스,express bus
112,113,고양이,cat
113,114,고장,"broken, malfunction"
114,115,고추,red pepper
115,116,고추장,"Kochujang, red pepper paste"
116,117,고치다,fix
117,118,고프다,hungry
118,119,고향,hometown
119,120,곧,soon
120,121,골목,alley
121,122,골프,golf
122,123,곱다,beautiful
123,124,곳,place
124,125,공,ball
125,126,공간,space
126,127,공기,air
127,128,공무원,public official
128,129,공부,study
129,130,공부하다,study
130,131,공연,"show, public performance"
131,132,공원,park
132,133,공중전화,"payphone, public phone"
133,134,공짜,free
134,135,공책,"notebook, note"
135,136,공항,airport
136,137,공휴일,public holiday
137,138,과,division
138,139,과거,past
139,140,과일,fruit
140,141,과자,snack
141,142,과학,science
142,143,관계,relation
143,144,관광하다,"travel, sightsee"
144,145,관심,"attention, interest"
145,146,광고,advertisement
146,147,괜찮다,be okay
147,148,괜찮습니다,It's fine.
148,149,교과서,textbook
149,150,교수,professor
150,151,교실,classroom
151,152,교체,"substitute, change"
152,153,교통,traffic
153,154,교통사고,traffic accident
154,155,교회,church
155,156,구,9
156,157,구경하다,take a look
157,158,구두,shoes
158,159,구름,cloud
159,160,구십,90
160,161,구월,September
161,162,구하다,"save, seek, get"
162,163,국,soup
163,164,국내,domestic
164,165,국립,"nationalestablished, state"
165,166,국수,noodle
166,167,국어,Korean language
167,168,국적,"nationality, country of citizenship"
168,169,국제,international
169,170,군인,"soldier, military personnel"
170,171,굽다,bake
171,172,권,~ book(s)
172,173,귀,ear
173,174,귀엽다,cute
174,175,규칙,rule
175,176,귤,mandarin orange
176,177,그,it
177,178,그거,it
178,179,그것,it
179,180,그곳,there
180,181,그날,that day
181,182,그냥,"just, as it is"
182,183,그동안,"meantime, meanwhile, up to now"
183,184,그들,"them, they"
184,185,그때,"then, at that time"
185,186,그래,"Yes, Yeah"
186,187,그래서,"so, thus"
187,188,그램,gram
188,189,그러나,"but, however"
189,190,그러니까,"so, because"
190,191,그러면,"then, if so"
191,192,그런,"then, such"
192,193,그런데,"by the way, however"
193,194,그럼,then
194,195,그렇게,"like that, so"
195,196,그렇구나,"well, I see."
196,197,그렇다,"Yes, that's it."
197,198,그렇습니다,That's right.
198,199,그렇지만,"nevertheless, but"
199,200,그릇,"bowl, container, tableware"
200,201,그리고,and
201,202,그리다,draw
202,203,그림,"drawing, picture"
203,204,그만,"stop, finish"
204,205,그분,"his, the person"
205,206,그저께,day before yesterday
206,207,그중,among them
207,208,그쪽,"there, the person"
208,209,그치다,"stop, end, cease"
209,210,극장,"theater, cinema"
210,211,근처,"nearby, neighborhood"
211,212,글,"post, sentence, character"
212,213,글쎄요,"I do not know., well, I guess ~"
213,214,금방,"soon, a little while ago"
214,215,금연,no smoking
215,216,금요일,Friday
216,217,금주,"abstinence, temperance"
217,218,급,"class, grade"
218,219,급하다,"hurry, urgent"
219,220,기간,"term, period"
220,221,기다리다,wait
221,222,기르다,"cultivate, grow"
222,223,기름,"oil, gasoline"
223,224,기분,feeling
224,225,기뻐하다,"glad, delight"
225,226,기쁘다,happy
226,227,기사,"article, driver, engineer"
227,228,기숙사,dormitory
228,229,기억하다,remember
229,230,기온,temperature
230,231,기자,reporter
231,232,기차,train
232,233,기침,cough
233,234,기타,other
234,235,긴장되다,be nervous
235,236,길,"way, road"
236,237,길다,long
237,238,김,seaweed
238,239,김밥,Kimbab
239,240,김치,Kimchi
240,241,김치찌개,Kimchi stew
241,242,김포공항,Gimpo International Airport
242,243,까만색,black color
243,244,까맣다,black
244,245,깎다,"cut, shave"
245,246,깜짝,"startled, surprised"
246,247,깨끗하다,clean
247,248,깨다,"wake up, crack, break"
248,249,깨지다,"chip, crack, break"
249,250,꺼내다,take out
250,251,껌,chewing gum
251,252,꼭,"exactly, absolutely"
252,253,꽃,flower
253,254,꽃집,florist
254,255,꾸다,dream
255,256,꿈,dream
256,257,끄다,"turn off, extinguish, stop"
257,258,끓이다,boil
258,259,끝,end
259,260,끝나다,"finish, end"
260,261,끝내다,finish
261,262,끼다,"put on, plug, (fog) rolls in"
262,263,나,I
263,264,나가다,"go out, get out"
264,265,나누다,"share, divide"
265,266,나다,"occur, come out"
266,267,나라,country
267,268,나무,tree
268,269,나빠지다,"spoil, deteriorate"
269,270,나쁘다,bad
270,271,나오다,"come out, appear"
271,272,나이,"age, old"
272,273,나중,"later, after"
273,274,나타나다,appear
274,275,나흘,four days
275,276,낚시,fishing
276,277,날,day
277,278,날씨,weather
278,279,날짜,date
279,280,남,"south, man"
280,281,남기다,leave
281,282,남녀,men and women
282,283,남대문시장,Namdaemun market
283,284,남동생,younger brother
284,285,남미,South America
285,286,남북,north and south
286,287,남자,man
287,288,남쪽,south
288,289,남편,husband
289,290,남학생,male student
290,291,낮,"day, noon, during the day"
291,292,낮다,low
292,293,내,"of mine, my"
293,294,내가,I
294,295,내과,internal medicine
295,296,내년,next year
296,297,내다,"pay, put out"
297,298,내려가다,go down
298,299,내려오다,come down
299,300,내리다,go down
300,301,내용,content
301,302,내일,tomorrow
302,303,냄비,pot
303,304,냄새,smell
304,305,냉면,cold noodle
305,306,냉장고,refrigerator
306,307,너,you
307,308,너무,"too, very"
308,309,넓다,wide
309,310,넘다,"exceed, more than"
310,311,넘어지다,"fall down, fall"
311,312,넣다,put in
312,313,네,"yes, 4"
313,314,넥타이,necktie
314,315,넷,4
315,316,넷째,fourth
316,317,년,year
317,318,노란색,yellow color
318,319,노랗다,yellow
319,320,노래,song
320,321,노래방,Karaoke shop
321,322,노래하다,sing
322,323,노력하다,"endeavor, strive"
323,324,노트,note
324,325,녹색,green
325,326,녹차,green tea
326,327,놀다,play
327,328,놀라다,be surprised
328,329,농구,basketball
329,330,높다,high
330,331,놓다,put
331,332,누가,who
332,333,누구,who
333,334,누나,sister (as seen from the younger brother)
334,335,누르다,"press down, push"
335,336,눈,"eye, snow"
336,337,눈물,tear
337,338,눈사람,snowman
338,339,눈싸움,"staring contest, snowball fight"
339,340,눕다,"lie down, sleep"
340,341,뉴스,news
341,342,뉴욕,New York
342,343,느끼다,feel
343,344,느낌,feeling
344,345,느리다,slow
345,346,늘,always
346,347,늘다,"gain, increase"
347,348,능력,ability
348,349,늦다,"late, delay"
349,350,늦잠,"overslept, sleeping in late"
350,351,님,Sir
351,352,다,"all, whole"
352,353,다녀오다,"return, come back"
353,354,다니다,"go, commute"
354,355,다르다,different
355,356,다른,"other ~, another ~, different ~"
356,357,다리,"bridge, leg, foot"
357,358,다섯,5
358,359,다시,again
359,360,다음,"next, after"
360,361,다음달,next month
361,362,다음주,next week
362,363,다음해,"next year, following year"
363,364,다이어트,diet
364,365,다치다,hurt
